stop_id,stop_name,stop_code,stop_lat,stop_lon,stop_desc
9705,BRIGADIER LOPEZ y MORENO,9705,-32.932456,-60.647383,OCHAVA NE
6546,JUNIN y CANNING,6546,-32.926656,-60.675008,OCHAVA SO
6303,ESPAÑA y RIOJA,6303,-32.945996,-60.646864,OCHAVA NO
5727,LIMITE MUNICIPIO y IRURTIA,5727,-32.967226,-60.733287,OCHAVA NO
4926,CASILDA y CANGALLO,4926,-32.928078,-60.677536,OCHAVA NE
5146,GENOVA y GALLINI,5146,-32.915383,-60.689308,OCHAVA SO
7373,RUTA NAC. 9 (Funes) y AV. ARGENTINA (Funes),7373,-32.914690409,-60.855663004,OCHAVA SO
9728,GENOVA y CORAZZI,9728,-32.915256,-60.69087,OCHAVA NE
3663,Ab. GRANDOLI y J. M. GUTIERREZ,3663,-32.993303,-60.628802,OCHAVA NO
9366,SILVESTRE BEGNIS (Baigorria) y MAIPO (Baigorria),9366,-32.850880231,-60.719563907,OCHAVA NE
7673,MENDOZA y FRAGA,7673,-32.940295,-60.710314,OCHAVA SO
3380,ESPAÑA y CEIBO,3380,-33.013657,-60.65683,OCHAVA SE
6449,FRANCIA y OCAMPO,6449,-32.961667,-60.67041,OCHAVA SE
2496,COPACABANA y PUNTA DEL INDIO,2496,-33.028257,-60.687143,OCHAVA NE
7185,CERESETO y PIEDRAS,7185,-33.007615,-60.673762,OCHAVA NO
4340,PELLEGRINI y P. L. FUNES,4340,-32.948427,-60.700954,OCHAVA SO
5651,E. DE LUCA y CORRIENTES,5651,-32.995145,-60.653661,OCHAVA SO
6452,SERRANO y S. DE BUSTAMANTE,6452,-33.001369,-60.631895,OCHAVA NO
3042,SPEGAZZINI y BRANDSEN,3042,-32.880743,-60.701475,OCHAVA NO
3123,FRANCIA y PTE. QUINTANA,3123,-32.977719,-60.674466,OCHAVA SE
6898,AVELLANEDA y J. J. PASO,6898,-32.919032,-60.67429,OCHAVA NO
7480,FILIPPINI (VGG) y LEVALLE (VGG),7480,-33.026923,-60.637096,OCHAVA SE
3449,ANCHORIS y GODOY CRUZ,3449,-32.891435,-60.701729,OCHAVA NO
1104,SANTA FE y FRANCIA,1104,-32.940129,-60.664987,OCHAVA NE
1021,SAN MARTIN y DR. F. RIVA,1021,-32.984171,-60.645158,OCHAVA SE
7046,MEJICO y GORRITI,7046,-32.924405,-60.719224,OCHAVA NO
3200,NAVARRO y DONADO,3200,-32.931754,-60.727204,OCHAVA NE
1622,RIOBAMBA y ESMERALDA,1622,-32.9659,-60.625718,OCHAVA N
7199,LAPRIDA y AYOLAS,7199,-32.977386,-60.641958,OCHAVA NO
2833,MITRE y BIEDMA,2833,-32.981217,-60.64826,OCHAVA SE
4499,SAN LUIS y CASTELLANOS,4499,-32.942487,-60.675809,OCHAVA SO
8053,ENTRE RIOS y H. DE LA QUINTANA,8053,-33.000947,-60.651971,OCHAVA NO
9776,JOSE DE CALASANZ y SUINDA,9776,-32.940745,-60.759785,OCHAVA NE
7943,MITRE y SAN LORENZO,7943,-32.943932,-60.638935,OCHAVA SE
9668,SANTA FE y DORREGO,9668,-32.943033,-60.648798,OCHAVA NE
2559,OCAMPO y SOLIS,2559,-32.957848,-60.702759,OCHAVA SO
7771,ENTRE RIOS y 27 DE FEBRERO,7771,-32.96683,-60.646302,OCHAVA NO
6559,OCAMPO y CAMPBELL,6559,-32.957970628,-60.707339235,OCHAVA SO
2587,JOSE DE CALASANZ y MANUEL UGARTE,2587,-32.940877,-60.755305,OCHAVA SO
4800,AMENABAR y ITALIA,4800,-32.97051,-60.654475,OCHAVA SO
9881,MITRE y ANDRADE,9881,-32.995965,-60.650523,OCHAVA SE
9731,9 DE JULIO y SANTIAGO,9731,-32.950704,-60.657991,OCHAVA SO
1813,PTE. PERON y SAN NICOLAS,1813,-32.956927,-60.67678,OCHAVA SO
7238,URQUIZA y ENTRE RIOS,7238,-32.942418,-60.640023,OCHAVA NE
8049,EVA PERON (Baigorria) y SAN LORENZO (Baigorria),8049,-32.858077854,-60.708488124,OCHAVA NE
9305,IRIARTE y GALICIA,9305,-32.874304,-60.691049,OCHAVA SE
6256,MITRE y PELLEGRINI,6256,-32.957208,-60.642219,OCHAVA SE
9957,MENDOZA y MARTIN RODRIGUEZ,9957,-32.947932,-60.660131,OCHAVA SO
2562,BOUCHARD y POLLEDO,2562,-32.89017,-60.720486,OCHAVA SO
7032,OVIDIO LAGOS y RIOBAMBA,7032,-32.958761,-60.665696,OCHAVA NO
3020,JUAN PABLO II y SUPERI,3020,-32.896963,-60.72048,OCHAVA E
2982,BIEDMA y LAVALLE,2982,-32.974332,-60.686695,OCHAVA SO
5060,JUJUY y ESPAÑA,5060,-32.936716,-60.644367,OCHAVA NE
5300,FILIPPINI (VGG) y LIBERTAD (VGG),5300,-33.021309,-60.63701,OCHAVA NO
6061,OMAR CARRASCO y ITUZAINGO,6061,-32.956402,-60.666331,OCHAVA SE
8712,ANDRADE y PUEYRREDON,8712,-32.996433,-60.6693,OCHAVA NE
6205,PTE. PERON y SAN NICOLAS,6205,-32.956602,-60.676329,OCHAVA NE
6865,MENDOZA (17 DE OCTUBRE) (VGG) y EDISON,6865,-33.015792035,-60.609145172,OCHAVA SE
1277,PELLEGRINI y IRIONDO,1277,-32.951476,-60.672198,OCHAVA NE
7484,BUENOS AIRES y PTE. QUINTANA,7484,-32.983587,-60.641707,OCHAVA SE
9069,URQUIZA y LIMA,9069,-32.934816,-60.682204,OCHAVA NE
9430,PARAGUAY y RIOJA,9430,-32.946494,-60.644074,OCHAVA NO
8358,NANSEN y MAZZINI,8358,-32.909063,-60.682978,OCHAVA NE
5962,ITALIA y SEGUI,5962,-32.977509,-60.656032,OCHAVA SE
3254,C. ALDAO y VIAMONTE,3254,-32.956507,-60.695253,OCHAVA SE
3297,SEGUI y AVELLANEDA,3297,-32.971827336,-60.687534777,OCHAVA SO
2305,PALESTINA y BLOMBERG,2305,-32.886611,-60.718602,OCHAVA S
